,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
308,2008,94611,7.0,0.1205811679240012,150396.0
22,2014,94002,7.0,0.04511697664814274,144246.0
312,2012,94611,7.0,0.17304315326111452,197730.5
288,2011,94403,6.0,0.13922677362088232,69306.0
336,2008,94920,6.0,0.15696347784797604,175435.0
339,2011,94920,6.0,-0.038912071304410656,186329.0
327,2013,94903,6.0,0.16666841889462458,110970.0
13,2013,60606,6.0,-0.303113624041515,17995.0
326,2012,94903,6.0,0.03556886227544909,95117.0
53,2013,94025,6.0,0.1142709892867304,238907.5
290,2013,94403,6.0,0.2883267937219731,91935.0
24,2009,94010,6.0,0.06179612667973067,159571.5
358,2009,95476,6.0,-0.026711487491111296,75279.0
306,2013,94563,6.0,0.20102453981175827,224839.0
345,2014,94939,6.0,0.00417137923066635,165140.0
279,2009,94402,6.0,0.08262145849137514,98472.0
294,2010,94404,5.0,-0.050363805715666454,121835.0
341,2013,94920,5.0,0.1794604139330469,241800.0
292,2008,94404,5.0,0.06853606186496264,119730.0
293,2009,94404,5.0,0.07154848408920067,128296.5
21,2013,94002,5.0,0.2495722162367704,138019.0
18,2010,94002,5.0,0.06429625813610196,107429.0
272,2010,94159,5.0,0.16140595585294726,238137.0
313,2013,94611,5.0,0.07277329496461094,212120.0
361,2012,95476,5.0,0.2910430057725111,114287.0
89,2014,94070,5.0,0.16837491883869782,151155.0
307,2014,94563,4.0,0.05866642352972562,238029.5
285,2008,94403,4.0,0.20238117419090385,64533.0
50,2010,94025,4.0,0.06636563326046829,200497.0
57,2010,94030,4.0,0.07612022851600986,142028.5
280,2010,94402,4.0,0.20497197172800385,118656.0
316,2009,94901,4.0,0.10841512690437205,137433.5
88,2013,94070,4.0,-0.05333635784898394,129372.0
325,2011,94903,4.0,-0.02386923992518275,91850.0
362,2013,95476,4.0,-0.1662175050530682,95290.5
322,2008,94903,4.0,0.0595090765125077,90320.5
79,2011,94066,4.0,0.053856063859347714,83438.0
20,2012,94002,3.0,0.0886734708963941,110453.0
274,2012,94159,3.0,0.007292799871066569,200000.0
52,2012,94025,3.0,0.0616047334934271,214407.0
340,2012,94920,3.0,0.10025277868716098,205009.0
75,2014,94062,3.0,0.24327082469954409,240001.0
31,2009,94014,3.0,0.04805890873973917,108526.5
26,2011,94010,3.0,0.09074111971933929,186544.0
56,2009,94030,3.0,0.08040275049115908,131982.0
337,2009,94920,3.0,0.03141904409040386,180947.0
356,2014,95070,3.0,0.12270565073309125,275434.5
357,2008,95476,3.0,0.287377558068892,77345.0
282,2012,94402,3.0,0.040441010177157954,138014.5
286,2009,94403,2.0,0.01998977267444557,65823.0
329,2008,94904,2.0,0.3299421154183477,113730.0
330,2009,94904,2.0,-0.1359359887452739,98270.0
311,2011,94611,2.0,0.005427910194927499,168562.0
363,2014,95476,2.0,0.03214905997974604,98354.0
47,2014,94022,2.0,0.06255337465564748,308565.5
295,2011,94404,2.0,0.08884967373907338,132660.0
44,2011,94022,2.0,-0.012521423297365941,256108.0
58,2011,94030,2.0,0.01319805531988294,143903.0
84,2009,94070,2.0,-0.012791839406502303,72390.0
305,2012,94563,2.0,-0.03306182111183997,187206.0
332,2011,94904,2.0,0.1720472007386764,138359.0
10,2010,60606,2.0,-0.002382335851249251,17169.0
334,2013,94904,2.0,0.13430419046638886,165322.0
360,2011,95476,2.0,0.0993095397759729,88523.0
74,2013,94062,2.0,0.0033550855143988922,193040.0
46,2013,94022,1.0,0.009707657645128043,290400.0
301,2008,94563,1.0,0.16164145747695247,116429.0
299,2013,94549,1.0,0.2836566998734187,179495.0
331,2010,94904,1.0,0.2012720056985855,118049.0
51,2011,94025,1.0,0.0073218053137951156,201965.0
19,2011,94002,1.0,-0.05559485799923669,101456.5
72,2011,94062,1.0,0.05491252961502169,155396.0
344,2013,94939,1.0,0.019996278608199525,164454.0
343,2012,94939,1.0,1.0239514944577648,161230.0
71,2010,94062,1.0,0.08621465177155918,147307.0
359,2010,95476,1.0,0.06970071334635164,80526.0
73,2012,94062,1.0,0.23809171407243435,192394.5
338,2010,94920,1.0,0.07143528215444306,193873.0
16,2008,94002,1.0,0.09445491641982717,105674.0
